1958,Climber,Federico Bahamontes,Espagne
1958,Sprinter,Jean Graczyk,France
1959,Winner,Federico Bahamontes,Espagne
1959,Climber,Federico Bahamontes,Espagne
1959,Sprinter,André Darrigade,France
1960,Winner,Gastone Nencini,Italie
1960,Climber,Imerio Massignan,Italie
1960,Sprinter,Jean Graczyk,France
1961,Winner,Jacques Anquetil,France
1961,Climber,Imerio Massignan,Italie
1961,Sprinter,André Darrigade,France
1962,Winner,Jacques Anquetil,France
1962,Climber,Federico Bahamontes,Espagne
1962,Sprinter,Rudi Altig,Allemagne de l'Ouest
1963,Winner,Jacques Anquetil,France
1963,Climber,Federico Bahamontes,Espagne
1963,Sprinter,Rik Van Looy,Belgique
1964,Winner,Jacques Anquetil,France
1964,Climber,Federico Bahamontes,Espagne
1964,Sprinter,Jan Janssen,Pays-Bas
1965,Winner,Felice Gimondi,Italie
1965,Climber,Julio Jiménez,Espagne
1965,Sprinter,Jan Janssen,Pays-Bas
1966,Winner,Lucien Aimar,France
1966,Climber,Julio Jiménez,Espagne
1966,Sprinter,Willy Planckaert,Belgique
1967,Winner,Roger Pingeon,France
1967,Climber,Julio Jiménez,Espagne
1967,Sprinter,Jan Janssen,Pays-Bas
1968,Winner,Jan Janssen,Pays-Bas
1968,Climber,Aurelio González,Espagne
1968,Sprinter,Franco Bitossi,Italie
1969,Winner,Eddy Merckx,Belgique
1969,Climber,Eddy Merckx,Belgique
1969,Sprinter,Eddy Merckx,Belgique
1970,Winner,Eddy Merckx,Belgique
1970,Climber,Eddy Merckx,Belgique
1970,Sprinter,Walter Godefroot,Belgique
1971,Winner,Eddy Merckx,Belgique
1971,Climber,Lucien Van Impe,Belgique
1971,Sprinter,Eddy Merckx,Belgique
1972,Winner,Eddy Merckx,Belgique
1972,Climber,Lucien Van Impe,Belgique
1972,Sprinter,Eddy Merckx,Belgique
1973,Winner,Luis Ocaña,Espagne
1973,Climber,Pedro Torres,Espagne
1973,Sprinter,Herman Van Springel,Belgique
1974,Winner,Eddy Merckx,Belgique
1974,Climber,Domingo Perurena,Espagne
1974,Sprinter,Patrick Sercu,Belgique
